commit	val_auc	val_bacc	test_auc	test_bacc	composite	delta	vram_gb	elapsed_min	status	description
c7fbf9e	0.862069	0.776554	0.870418	0.829847	0.850133	+0.000000	0.5	77.1	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+patience12 (step LR + slightly longer early stopping)
c7fbf9e	0.835705	0.742725	0.823904	0.746789	0.785346	-0.064786	1.7	58.0	discard	hopt1+ilra_mil+rdrop_a1+focal_g1+no_inst+gc05+step_lr (nnMIL iterative low-rank attention, multi-head)
c7fbf9e	0.840640	0.714456	0.866881	0.719780	0.793331	-0.056802	0.5	61.5	discard	hopt1+dtfd_mil+rdrop_a1+focal_g1+no_inst+gc05+step_lr (nnMIL dtfd, benchmark #5 HRD, pseudo-bag distillation)
c7fbf9e	0.850227	0.674308	0.839463	0.700133	0.769798	-0.080335	31.3	116.9	discard	hopt1+vit+rdrop_a1+focal_g1+no_inst+gc05+step_lr (nnMIL vision_transformer, self-attention over patches with ALiBi)
c7fbf9e	0.862069	0.776554	0.870418	0.829847	0.850133	+0.000000	0.5	73.4	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+wd5e5 (step LR + lower weight decay 5e-5)
c7fbf9e	0.863130	0.785184	0.865246	0.808295	0.836771	-0.013362	0.5	76.4	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+noise0005 (step LR + very mild gaussian noise 0.0005)
c7fbf9e	0.859435	0.792999	0.867083	0.776465	0.821774	-0.028358	0.4	77.5	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+mbs2 (step LR + micro_batch=2 for more gradient noise)
c7fbf9e	0.863149	0.796324	0.873210	0.786810	0.830010	-0.020123	0.5	70.7	discard	hopt1+clam_mb+rdrop_a1+focal_g05+no_inst+gc05+step_lr (step LR + very mild focal gamma=0.5)
c7fbf9e	0.861576	0.778145	0.873266	0.794569	0.833918	-0.016215	0.5	81.5	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+lr2e4 (lower base LR 2e-4 with step decay)
c7fbf9e	0.865347	0.780390	0.865647	0.797796	0.831721	-0.018411	0.5	84.9	discard	hopt1+clam_mb+rdrop_a1+ce_weighted+no_inst+gc05+step_lr (step LR + weighted CE loss, no focal)
ccb11fd	0.862874	0.792203	0.865820	0.808295	0.837058	-0.013075	0.5	81.1	discard	hopt1+clam_mb+rdrop_warmup20+focal_g1+no_inst+gc05+step_lr (R-Drop alpha 0->1.0 over 20ep, learn then constrain)
ccb11fd	0.856764	0.771125	0.864428	0.774675	0.819552	-0.030581	0.5	94.5	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+exp_lr_095 (exponential LR decay 0.95/epoch, smoother than step)
ccb11fd	0.866597	0.778022	0.872666	0.778698	0.825682	-0.024451	0.5	97.7	discard	hopt1+clam_mb+rdrop_a1+focal_g1+inst_eval+gc05+step_lr (step LR + re-enable instance supervision)
26678f2	0.849072	0.723892	0.830062	0.675237	0.752649	-0.097483	0.5	68.7	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr+feat_center (per-slide mean subtraction to remove batch effects)
26678f2	0.862599	0.776554	0.870418	0.829847	0.850133	+0.000000	0.5	75.7	discard	hopt1+clam_mb+rdrop_a075+focal_g1+no_inst+gc05+step_lr (lower KL weight with step schedule)
26678f2	0.855419	0.763433	0.860537	0.771226	0.815882	-0.034251	0.5	91.3	discard	hopt1+clam_mb+rdrop_a1+focal_g1+no_inst+gc05+step_lr_10ep (halve every 10ep, more frequent decay)
a06efab	0.850909	0.728136	0.837748	0.723017	0.780382	-0.069750	0.7	57.2	discard	variance_pool+rdrop_a1+focal_g1+no_inst+gc05+step_lr (CLAM_MB with attention-weighted variance pooling, captures heterogeneity)
a06efab	0.835487	0.721665	0.829396	0.709799	0.769597	-0.080535	0.6	68.8	discard	aem_lambda05+rdrop_a1+focal_g1+no_inst+gc05+step_lr (attention entropy maximization lambda=0.5, prevent attention collapse)
a06efab	0.866256	0.765820	0.860774	0.742721	0.801748	-0.048385	0.6	71.3	discard	psemix_k4+rdrop_a1+focal_g1+no_inst+gc05+step_lr (pseudo-bag: split each bag into 4, mixup between slides, Beta(0.5,0.5))
a06efab	0.677359	0.512486	0.619575	0.508488	0.564032	-0.286101	0.4	44.2	discard	topk256_attn+rdrop_a1+focal_g1+no_inst+gc05+step_lr (keep only top-256 patches by attention score, mask rest)
a06efab	0.862618	0.784246	0.872742	0.829847	0.851295	+0.001162	0.9	69.1	keep	coord_pe+rdrop_a1+focal_g1+no_inst+gc05+step_lr (sinusoidal 2D positional encoding from patch (x,y) coords added to features)
a06efab	0.843530	0.734682	0.848547	0.750537	0.799542	-0.051752	0.6	72.0	discard	aem_lambda005+rdrop_a1+focal_g1+no_inst+gc05+step_lr (attention entropy maximization lambda=0.05, much gentler, prevent attention collapse)
